,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
75061,P5/6 Canopy_Found2,99,minMzz,C14p3718,14,STR/GEO Set B,5.09054662613988,13.176389861221313,46.69488521306276,-44.7321084487915,21.812706386380196,-0.00029690126852598045
91497,P5/6 Canopy_Found3,100,maxFx,C14p3690,14,STR/GEO Set B,8.309898180737497,1.6536288420295713,96.34308749836802,29.246820374584193,35.60205253219128,-0.00020200729276519268
91178,P5/6 Canopy_Found3,100,minFx,C14p3371,14,STR/GEO Set B,-9.745015445957907,-2.2267750255688434,2.1297586930561043,-30.646367403074482,-41.754873619320044,0.0003779041838878682
91529,P5/6 Canopy_Found3,100,maxFy,C14p3722,14,STR/GEO Set B,7.1560993666315085,15.49673541475296,83.96589808516026,-85.22380413103105,30.65915109633923,-0.00020552228996064515
89916,P5/6 Canopy_Found3,100,minFy,C14p2109,14,STR/GEO Set B,-7.988972941981086,-4.093845490465998,41.77258262649357,38.77570804591537,-34.231560716011174,0.00023724197585134864
90033,P5/6 Canopy_Found3,100,maxFz,C14p2226,14,STR/GEO Set B,-9.05683574909998,-0.5743218288525345,149.38922778128565,0.3020299483811941,-38.81226927519048,0.00020110695739741536
91440,P5/6 Canopy_Found3,100,minFz,C14p3633,14,STR/GEO Set B,7.174654662075043,15.12249177881241,-46.02259708085537,-66.52327331438065,30.744392040724758,-0.000251484233182855
90701,P5/6 Canopy_Found3,100,maxMxx,C14p2894,14,STR/GEO Set B,-7.876369294927121,-1.2629488897514345,33.17171617141545,55.45649707647324,-33.74934056349278,0.00010266812977381051
91138,P5/6 Canopy_Found3,100,minMxx,C14p3331,14,STR/GEO Set B,7.071228514529936,13.402980781811834,121.8161076310587,-97.50856301022169,30.293649700687283,-0.00010165562997107298
91497,P5/6 Canopy_Found3,100,maxMyy,C14p3690,14,STR/GEO Set B,8.309898180737497,1.6536288420295713,96.34308749836802,29.246820374584193,35.60205253219128,-0.00020200729276519268
91178,P5/6 Canopy_Found3,100,minMyy,C14p3371,14,STR/GEO Set B,-9.745015445957907,-2.2267750255688434,2.1297586930561043,-30.646367403074482,-41.754873619320044,0.0003779041838878682
89862,P5/6 Canopy_Found3,100,maxMzz,C14p2055,14,STR/GEO Set B,-9.208536979971658,-2.9964028543575996,58.65832232726991,-41.092727055402975,-39.45875435652936,0.00041561102557926535
91525,P5/6 Canopy_Found3,100,minMzz,C14p3718,14,STR/GEO Set B,7.2097246902132035,14.89142924943924,96.3378318838787,-27.480763457202915,30.888083618159296,-0.0003134145317552611
14273,P3/4 Canopy_Found1,91,maxFx,C19p3298,19,STR/GEO Set C,3.0807200806213753,-1.9355591524179117,88.4030643852076,1.3800560115659353,13.200590681824798,-0.00016470599370513057
14738,P3/4 Canopy_Found1,91,minFx,C19p3763,19,STR/GEO Set C,-3.5327004960626365,8.455379719467162,-31.649070049801686,-36.54537023651123,-15.13701724430561,0.00023555312937067352
14787,P3/4 Canopy_Found1,91,maxFy,C19p3812,19,STR/GEO Set C,-2.4575568729108572,29.54051852104187,-11.948875733195319,-96.4061378970337,-10.53015968498707,5.990952575521076e-05
12788,P3/4 Canopy_Found1,91,minFy,C19p1813,19,STR/GEO Set C,1.5965328014959228,-5.346012675977482,111.69615170370353,-27.677783969513168,6.841587710137479,-0.00010753057582506854
12781,P3/4 Canopy_Found1,91,maxFz,C19p1806,19,STR/GEO Set C,-2.9173527481924166,-1.1230319269235272,138.6495462826808,-4.437979563995591,-12.499479727225195,2.7548707591202663e-05
14798,P3/4 Canopy_Found1,91,minFz,C19p3823,19,STR/GEO Set C,2.048356020899415,26.36947136375428,-31.6809420449362,-113.18304522613525,8.776612417483332,-5.427433891280089e-05
13434,P3/4 Canopy_Found1,91,maxMxx,C19p2459,19,STR/GEO Set C,1.5756244873178007,1.7360940898132324,14.448100246465355,32.72328368530273,6.751121421971322,-1.530752249993384e-05
14487,P3/4 Canopy_Found1,91,minMxx,C19p3512,19,STR/GEO Set C,-2.4391415800361504,23.93088762469696,109.66230081783662,-141.873074002167,-10.450511983218084,-1.4365579071738213e-05
14273,P3/4 Canopy_Found1,91,maxMyy,C19p3298,19,STR/GEO Set C,3.0807200806213753,-1.9355591524179117,88.4030643852076,1.3800560115659353,13.200590681824798,-0.00016470599370513057
14738,P3/4 Canopy_Found1,91,minMyy,C19p3763,19,STR/GEO Set C,-3.5327004960626365,8.455379719467162,-31.649070049801686,-36.54537023651123,-15.13701724430561,0.00023555312937067352
13814,P3/4 Canopy_Found1,91,maxMzz,C19p2839,19,STR/GEO Set C,-3.0649960687559847,8.832433458328245,-12.418989464462024,-39.291617546691896,-13.13300052312374,0.0002617277554416796
14301,P3/4 Canopy_Found1,91,minMzz,C19p3326,19,STR/GEO Set C,2.1743815723968876,17.011543345445858,88.39998828528286,-79.76646148110986,9.317100082764737,-0.00024623425091121294
30933,P3/4 Canopy_Found2,7,maxFx,C19p3494,19,STR/GEO Set C,5.111867633245693,10.939768565323993,116.87108117219836,-39.11609964150935,21.904056388234196,-0.00018706011732810802
31006,P3/4 Canopy_Found2,7,minFx,C19p3567,19,STR/GEO Set C,-5.837485223218202,0.8418402596282959,-0.9695848518845473,-18.22466268585205,-25.01302789012909,0.00020244054078124462
30944,P3/4 Canopy_Found2,7,maxFy,C19p3505,19,STR/GEO Set C,-4.7356270153825415,28.852924686082048,107.08060500498236,-125.84315688882381,-20.291316737376157,2.84828697354191e-05
29947,P3/4 Canopy_Found2,7,minFy,C19p2508,19,STR/GEO Set C,4.563488396538496,-3.166259016113281,11.004048008360714,7.741517049255372,19.554112998743058,-0.00013808105976786464
29763,P3/4 Canopy_Found2,7,maxFz,C19p2324,19,STR/GEO Set C,4.082422923138844,19.2603963802654,148.78642545731483,-87.95456857705622,17.49294910254389,-9.800902516118874e-05
31000,P3/4 Canopy_Found2,7,minFz,C19p3561,19,STR/GEO Set C,-5.807326065522433,2.322024369735718,-10.738431424150171,-8.24519288116455,-24.88377946651459,0.00014425441986881196
29955,P3/4 Canopy_Found2,7,maxMxx,C19p2516,19,STR/GEO Set C,4.542359932106733,-0.6435474319458008,37.83363126519665,41.870475765075696,19.463572267541885,-0.00012192932029720395
30952,P3/4 Canopy_Found2,7,minMxx,C19p3513,19,STR/GEO Set C,-4.717575270597233,27.17126429240529,126.75216895029484,-151.63636929116757,-20.214016076518,1.193932598686153e-05
30933,P3/4 Canopy_Found2,7,maxMyy,C19p3494,19,STR/GEO Set C,5.111867633245693,10.939768565323993,116.87108117219836,-39.11609964150935,21.904056388234196,-0.00018706011732810802
31006,P3/4 Canopy_Found2,7,minMyy,C19p3567,19,STR/GEO Set C,-5.837485223218202,0.8418402596282959,-0.9695848518845473,-18.22466268585205,-25.01302789012909,0.00020244054078124462
30278,P3/4 Canopy_Found2,7,maxMzz,C19p2839,19,STR/GEO Set C,-5.334900434079767,12.587727640380859,44.081511117128876,-76.61578555191039,-22.859365393116477,0.00024149834855714288
30765,P3/4 Canopy_Found2,7,minMzz,C19p3326,19,STR/GEO Set C,4.138292658264743,14.236506689408467,97.0920684561777,-49.97149834527523,17.732414083301126,-0.0002652650182184494
47397,P3/4 Canopy_Found3,8,maxFx,C19p3494,19,STR/GEO Set C,7.21945034697735,8.839347349934531,114.46629318897878,-6.137918533821918,30.929626947015667,-0.0002654440142499904
47470,P3/4 Canopy_Found3,8,minFx,C19p3567,19,STR/GEO Set C,-8.205260359784367,-1.2716569907665254,-17.332969887002115,-30.297494049444207,-35.15697136275291,0.000240257305521518
47429,P3/4 Canopy_Found3,8,maxFy,C19p3526,19,STR/GEO Set C,6.198839003879663,22.59134998253341,103.92712213528131,-115.44241265125355,26.55733468219175,-0.000225187685555468
46404,P3/4 Canopy_Found3,8,minFy,C19p2501,19,STR/GEO Set C,-6.681117799166442,-3.166201600818634,18.729499463416037,34.15610668787479,-28.627200511026388,0.0001146188628859818
46129,P3/4 Canopy_Found3,8,maxFz,C19p2226,19,STR/GEO Set C,-7.460844084601764,7.361075648808431,139.6154434498394,-33.80163767953953,-31.973159761558637,5.1031934771997275e-05
47536,P3/4 Canopy_Found3,8,minFz,C19p3633,19,STR/GEO Set C,6.067070182818175,14.625100269212727,-37.66166519781351,-64.4366506082821,25.99822073967934,-0.00023064698228612545
46573,P3/4 Canopy_Found3,8,maxMxx,C19p2670,19,STR/GEO Set C,-6.589404187344313,-1.0680983603000638,86.08957513236133,49.26186340074539,-28.23753727563858,1.303353047464044e-05
47346,P3/4 Canopy_Found3,8,minMxx,C19p3443,19,STR/GEO Set C,6.126727167427179,21.039682172760916,8.483772980007853,-126.50401931429943,26.252302829030896,-0.00014273568254026273
