,Unnamed: 0,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz,combCase,PN,set
28,28,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,-5133.84762550293,176.65530901474,-189.84803622619629,0.0,461.2526143701171,578.0538449053954,24,PN10,ULS - Set C - Variable Actions (Env.)
29,29,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,-5147.253174086914,176.65530901474,-189.84803622619629,0.0,366.3285865820312,489.7261678575134,24,PN10,ULS - Set C - Variable Actions (Env.)
30,30,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p2,-4811.926127700196,172.45270835479735,-191.0752330194092,0.0,447.27785722167965,548.0973565380857,24,PN10,ULS - Set C - Variable Actions (Env.)
31,31,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p2,-4825.3316762841805,172.45270835479735,-191.0752330194092,0.0,351.74023244140625,461.8709792277527,24,PN10,ULS - Set C - Variable Actions (Env.)
32,32,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p3,-3778.6733777392574,65.83046473037719,-102.89309672363282,0.0,278.51630023437497,269.03950279418945,24,PN10,ULS - Set C - Variable Actions (Env.)
33,33,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p3,-3792.0789263232423,65.83046473037719,-102.89309672363282,0.0,227.06975659912115,236.12425936172488,24,PN10,ULS - Set C - Variable Actions (Env.)
34,34,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p4,-3402.949071853028,60.88054872600556,-104.88184190948486,0.0,257.6003942700195,233.060261182251,24,PN10,ULS - Set C - Variable Actions (Env.)
35,35,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p4,-3416.3546204370123,60.88054872600556,-104.88184190948486,0.0,205.15947656982416,202.61997921958928,24,PN10,ULS - Set C - Variable Actions (Env.)
36,36,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p5,-3984.0673487646486,53.519882857360834,-147.39984048278808,0.0,301.9306534863281,236.96410398010255,24,PN10,ULS - Set C - Variable Actions (Env.)
37,37,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p5,-3997.472897348633,53.519882857360834,-147.39984048278808,0.0,228.23073478515624,210.2041525390625,24,PN10,ULS - Set C - Variable Actions (Env.)
38,38,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p6,-3730.785461469727,50.26640871871947,-147.72174624328613,0.0,296.2287336865234,214.57145343566896,24,PN10,ULS - Set C - Variable Actions (Env.)
