,PN,elementIndex,Type,modelName,combCasePerm,combCase,set,Fx,Unnamed: 0
997,PN02,111,minFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),-4529.453113627929,997
1830,PN01,112,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-361.9364509570311,1830
1429,PN01,112,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-7970.162897011719,1429
1870,PN03,113,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-735.8679671874996,1870
1469,PN03,113,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-10640.440249257812,1469
3116,PN04,114,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),924.5763748138428,3116
317,PN04,114,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),-4608.186323485717,317
3156,PN06,115,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),1739.723418945313,3156
349,PN06,115,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-5055.455812773438,349
1990,PN05,116,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-1828.558571542968,1990
1589,PN05,116,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-11743.878304082034,1589
