,PN,elementIndex,Type,modelName,combCasePerm,combCase,set,Fx,Unnamed: 0
378,PN05,116,maxFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),-1210.849144726563,378
1577,PN05,116,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-14709.734772519529,1577
1228,PN10,107,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),3496.595707661133,1228
29,PN10,107,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-5147.253174086914,29
870,PN09,108,maxFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-1007.264497138673,870
469,PN09,108,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-8045.555441201172,469
118,PN07,109,maxFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p6,24,ULS - Set C - Variable Actions (Env.),-2273.2342789111326,118
517,PN07,109,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),-9563.828797211916,517
1348,PN8,110,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),2579.4139033007814,1348
149,PN8,110,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-5354.07293359375,149
596,PN02,111,maxFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),2459.9049116845704,596
997,PN02,111,minFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),-4529.453113627929,997
230,PN01,112,maxFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-562.156357207031,230
1429,PN01,112,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-7970.162897011719,1429
270,PN03,113,maxFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-935.4231234374996,270
1469,PN03,113,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-10640.440249257812,1469
1516,PN04,114,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),729.4468435638429,1516
317,PN04,114,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),-4608.186323485717,317
1556,PN06,115,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),1550.5922626953125,1556
349,PN06,115,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-5055.455812773438,349
390,PN05,116,maxFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-2049.9157902929683,390
1589,PN05,116,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-11743.878304082034,1589
