,PN,elementIndex,Type,modelName,combCasePerm,combCase,set,Fx,Unnamed: 0
218,PN01,112,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),338.7601660546876,218
1417,PN01,112,minFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-9648.970293623048,1417
258,PN03,113,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),110.53148976562638,258
1457,PN03,113,minFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-12990.375937089842,1457
1506,PN04,114,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C23p6,23,ULS - Set A/B - Variable Actions (Env.),1336.0752400994877,1506
305,PN04,114,minFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p5,23,ULS - Set A/B - Variable Actions (Env.),-5526.174516925659,305
1546,PN06,115,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C23p6,23,ULS - Set A/B - Variable Actions (Env.),2154.233082192383,1546
337,PN06,115,minFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-6036.256531093751,337
378,PN05,116,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),-1000.5597869140634,378
1577,PN05,116,minFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-14410.902527207032,1577
1228,PN10,107,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),3671.056551411132,1228
29,PN10,107,minFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-4972.792330336914,29
870,PN09,108,maxFx,models\South Pier - Pilecap (100% Design)_-Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-812.007184638673,870
469,PN09,108,minFx,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-7850.298128701172,469
118,PN07,109,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p6,24,ULS - Set C - Variable Actions (Env.),-2063.8705289111326,118
517,PN07,109,minFx,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),-9354.465047211916,517
1348,PN8,110,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),2762.506309550781,1348
149,PN8,110,minFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-5170.980527343751,149
596,PN02,111,maxFx,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),2657.8559429345705,596
997,PN02,111,minFx,models\South Pier - Pilecap (100% Design)_-Fy+Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),-4331.50208237793,997
230,PN01,112,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-361.9364509570311,230
1429,PN01,112,minFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-7769.942990761719,1429
270,PN03,113,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-735.8679671874996,270
1469,PN03,113,minFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-10440.885093007812,1469
1516,PN04,114,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),924.5763748138428,1516
317,PN04,114,minFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),-4413.056792235719,317
1556,PN06,115,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),1739.723418945313,1556
349,PN06,115,minFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-4866.324656523439,349
390,PN05,116,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-1828.558571542968,390
1589,PN05,116,minFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-11522.521085332037,1589
