,Unnamed: 0,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz,combCase,PN,set
39,39,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p6,-3569.730166303711,50.21239645065306,-147.77897453765868,0.0,221.9455781274413,188.40624622894288,24,PN10,ULS - Set C - Variable Actions (Env.)
40,40,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p1,-3487.6197805664056,119.02772384033204,-108.68171133880617,0.0,283.508642062378,411.45275634765625,21,PN09,SLS - Variable Actions (Env.)
41,41,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p1,-3501.0253289062493,119.02772384033204,-108.68171133880617,0.0,229.1678145568848,351.9389069335937,21,PN09,SLS - Variable Actions (Env.)
42,42,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p2,-3085.113520410156,114.57295982208252,-109.28514804534912,0.0,276.97478239440926,381.5588040039063,21,PN09,SLS - Variable Actions (Env.)
43,43,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p2,-3098.51906875,114.57295982208252,-109.28514804534912,0.0,222.3322317687988,324.27233261718754,21,PN09,SLS - Variable Actions (Env.)
44,44,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p3,-3308.912053906251,47.32196218719484,-59.56915706939698,0.0,188.0983981903076,218.69757041015623,21,PN09,SLS - Variable Actions (Env.)
45,45,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p3,-3322.3176022460943,47.32196218719484,-59.56915706939698,0.0,158.313840802002,195.0365931640624,21,PN09,SLS - Variable Actions (Env.)
46,46,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p4,-2721.2917710937504,40.98369765777588,-60.8663835067749,0.0,173.80560639343258,176.0995419921875,21,PN09,SLS - Variable Actions (Env.)
47,47,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p4,-2734.697319433594,40.98369765777588,-60.8663835067749,0.0,143.37242822875976,155.60769663085932,21,PN09,SLS - Variable Actions (Env.)
48,48,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p5,-2385.617376660157,26.947822366333,-87.3790247543335,0.0,190.3339130096436,138.40603828125,21,PN09,SLS - Variable Actions (Env.)
