,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz
741,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p3,-34.86505382812559,46.329246637773515,-273.11372811637864,0.0,325.38175996826175,134.44467769790649
742,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p4,194.76576909667986,47.27414901761054,-333.8791445680235,0.0,5.374325183105481,137.95458191406252
743,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p4,182.03049770996103,47.27414901761054,-249.67289456802354,0.0,-140.7808397460938,114.31750308959961
744,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p5,942.4263335937499,55.1700002004528,-300.6877701839446,0.0,403.6473202050782,193.68852508499145
745,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p5,924.3288426757808,55.1700002004528,-216.4815201839446,0.0,274.08785212402347,166.1035206526184
746,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p6,1158.789093286133,55.893746919355394,-282.7919854905699,0.0,39.56438631591799,178.65684210021973
747,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p6,1146.053821899414,55.893746919355394,-198.5857354905699,0.0,-81.04718732666012,150.7099643447876
748,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p1,-426.01905093750054,137.16250576267242,-395.9780822866822,0.0,166.9497624511719,382.0994960943603
749,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p1,-439.42459976562554,137.16250576267242,-308.1530822866822,0.0,-9.364256606445299,313.5182275683594
750,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p2,-557.1821940039064,137.43941896087648,-385.7402265011597,0.0,-38.41015748046877,374.8205685449218
751,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p2,-570.5877428320314,137.43941896087648,-297.91522650115974,0.0,-209.60526145019517,306.10084315917976
752,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p3,160.1954434765625,33.75302674604416,-375.39803382293707,0.0,273.84686931640624,113.65124425720214
753,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p3,146.7898946484375,33.75302674604416,-287.57303382293713,0.0,107.8228747729492,96.77472683959962
754,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p4,28.620586318359596,34.11611895170212,-363.0606232644654,0.0,25.41568983398435,104.61354178283693
755,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p4,15.215037490234595,34.11611895170212,-275.2356232644653,0.0,-134.43960476806643,87.55547845367433
756,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p5,964.7587212890626,41.114307834205626,-327.80602664947514,0.0,205.51568428710937,143.79634344909667
757,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p5,951.3531724609376,41.114307834205626,-239.98102664947515,0.0,63.287708471679686,123.23918502441407
758,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p6,836.9665852539061,41.28690848049164,-320.1960392477417,0.0,54.06685458984373,138.6993974597168
759,115,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p6,823.5610364257811,41.28690848049164,-232.3710392477417,0.0,-84.35612506347665,118.05593913574221
760,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p1,-8412.54442265625,99.07724143829347,254.55439466857905,0.0,-158.73130722656254,286.39562012634275
761,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p1,-8425.949969531252,99.07724143829347,254.55439466857905,0.0,-31.45411887207028,236.85698185729984
762,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p2,-6903.3453140625015,99.10336343803407,263.7872884155273,0.0,-330.20100903320326,280.7059106414795
763,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p2,-6916.750860937502,99.10336343803407,263.7872884155273,0.0,-198.30738527832034,231.15421139221195
764,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p3,-9599.511130273439,28.428187376403805,261.8635622711181,0.0,-51.991710839843726,100.80379826354981
765,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p3,-9612.91667714844,28.428187376403805,261.8635622711181,0.0,78.94006457519531,86.58969650573732
766,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p4,-7608.237129492189,28.372382270431522,273.65435838012695,0.0,-272.89004311523433,92.56772347106934
767,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p4,-7621.642676367189,28.372382270431522,273.65435838012695,0.0,-136.06288269042975,78.38152460021972
768,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p5,-9594.075626562502,36.92089333953858,292.32705658264155,0.0,-95.14677734375,135.6349760345459
769,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p5,-9607.481173437502,36.92089333953858,292.32705658264155,0.0,51.016730541992175,117.17452002868653
770,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p6,-8450.521651562502,37.00630200309753,299.6012913024902,0.0,-228.84127661132803,131.85632807312012
771,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p6,-8463.927198437501,37.00630200309753,299.6012913024902,0.0,-79.04065510253905,113.35316809387207
772,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C22p1,-8306.969337890625,-9.359065818786622,260.5805269393921,0.0,-147.95118432617187,3.816735900878906
773,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C22p1,-8320.374884765624,-9.359065818786622,260.5805269393921,0.0,-17.660920532226562,8.496264404296875
774,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C22p2,-8027.959294921875,-9.015409700393677,263.26086302948,0.0,-192.71159521484375,5.715597747802734
