,,Fx,Fy,Fz,Mxx,Myy,Mzz
199,Res_1,-179.84904959106444,-178.3647444511652,166.46656282901716,0.0,-251.4310531816477,-279.0981619758606
200,Res_0,-179.85285769653322,-144.787294003129,132.68148766648736,0.0,-251.4310678749079,-279.098191521883
200,Res_1,-194.16771707153322,-144.787294003129,132.68148766648736,0.0,-118.74957723879791,-134.3109000658989
201,Res_0,-194.16151834106446,-92.17994047629833,83.303957770109,0.0,-118.74957475209213,-134.31090027165413
201,Res_1,-208.47637771606446,-92.17994047629833,83.303957770109,0.0,-35.44561803442236,-42.13096128869057
202,Res_0,-208.47584451293946,-46.11169634348154,40.95720807611934,0.0,-35.44561202254888,-42.13095569777489
202,Res_1,-222.79070388793946,-46.11169634348154,40.95720807611934,0.0,5.511595301866488,3.9807408913634754
203,Res_0,-222.7913127746582,-14.776199551284314,12.555821027547108,0.0,5.511594665169673,3.980736910987649
203,Res_1,-237.10617214965822,-14.776199551284314,12.555821027547108,0.0,18.067415426015796,18.75693671314419
204,Res_0,-237.11315701293947,2.391648435154931,-2.770471151590331,0.0,18.067411311149538,18.756931163251405
204,Res_1,-251.42801638793946,2.391648435154931,-2.770471151590331,0.0,15.296939984753685,16.36528383101523
205,Res_0,-251.42104177856447,8.819041840396821,-8.329933684103166,0.0,15.296938988909082,16.365285472139718
205,Res_1,-265.73590115356444,8.819041840396821,-8.329933684103166,0.0,6.967005662307125,7.546244003154339
207,Res_0,-2520.2863262176515,142.74183606958388,-134.73854852700234,0.0,-312.64238296413237,-327.33924643182763
207,Res_1,-2534.6011875457766,142.74183606958388,-134.73854852700234,0.0,-447.3809349710923,-470.0810729720593
208,Res_0,-2534.5955946502686,77.78273309755326,-73.14173105907454,0.0,-447.3807846114617,-470.0809270942212
208,Res_1,-2548.9104559783937,77.78273309755326,-73.14173105907454,0.0,-520.5224987618906,-547.8636676347852
209,Res_0,-2548.9138926239016,42.002556171655655,-39.232493540764075,0.0,-520.5226824773532,-547.8636466410757
209,Res_1,-2563.2287559051515,42.002556171655655,-39.232493540764075,0.0,-559.7551753234849,-589.8662163760662
210,Res_0,-2563.227616256714,-143.33454052386432,136.26102063708703,0.0,-559.7551655340179,-589.8662271590233
210,Res_1,-2577.542479537964,-143.33454052386432,136.26102063708703,0.0,-423.4941369838704,-446.5316885139943
211,Res_0,-2577.5418922576905,-176.6143369483352,167.6274258527751,0.0,-423.4941808581342,-446.53170582127575
211,Res_1,-2591.8567594451906,-176.6143369483352,167.6274258527751,0.0,-255.8667562167639,-269.9173731606007
212,Res_0,-2591.856928756714,-141.62414527231456,134.332190163612,0.0,-255.86676551842635,-269.9173558809757
212,Res_1,-2606.171788131714,-141.62414527231456,134.332190163612,0.0,-121.5345782406328,-128.29320672500134
213,Res_0,-2606.1759084930422,-89.33412519681454,84.69318338632564,0.0,-121.53456757450083,-128.29320622670653
213,Res_1,-2620.490767868042,-89.33412519681454,84.69318338632564,0.0,-36.841385202467414,-38.95907945245504
