,element_nos,Cs,xDivL,Fx,Mres
3019,60,C96,1.0,-982.1259344957538,1.9464711674740483e-05
3037,70,C96,1.0,-1069.2932498585699,22.26713899564379
3038,71,C96,0.0,-1069.2915729215385,22.267091288242504
3039,71,C96,1.0,-1093.7432963590384,2.8652181646722572e-05
3059,38,C97,1.0,-1847.9209291602515,2.5781121570244566e-05
3079,49,C97,1.0,-2109.333367490597,1.3703263688687734e-05
3099,60,C97,1.0,-2290.2795510465053,1.2453844453827098e-05
3119,71,C97,1.0,-2330.758406191191,1.5274624680325384e-05
3120,29,C98,0.0,-176.47163315744882,739.8627700854871
3121,29,C98,1.0,-188.69749352174273,1254.6884939689535
3122,30,C98,0.0,-188.6940666609381,1254.6882019931663
3139,38,C98,1.0,-408.76474085947046,2.5912376142202263e-05
3159,49,C98,1.0,-570.8176340726277,1.5303053073979875e-05
3179,60,C98,1.0,-751.763817628536,1.4123688734455813e-05
3199,71,C98,1.0,-891.6022178904104,1.5887056583813263e-05
3219,38,C99,1.0,-1730.760608510685,4.004524216691914e-05
3239,49,C99,1.0,-1898.4546213628196,2.3435354947750735e-05
3259,60,C99,1.0,-1989.1019849455831,2.2691510834435855e-05
3279,71,C99,1.0,-1974.272148839965,3.6753541974627116e-05
3299,38,C100,1.0,-728.2959156786537,4.0445684746019844e-05
3319,49,C100,1.0,-832.0030421636005,2.507924109748148e-05
3339,60,C100,1.0,-922.6504057463644,2.4354811793150142e-05
3359,71,C100,1.0,-971.8074560079339,3.720874879966222e-05
3377,37,C109,1.0,-1575.0338478761487,20.314107819645177
3378,38,C109,0.0,-1575.0407807175636,20.314064065798732
3379,38,C109,1.0,-1609.7879666550637,2.8096293417264965e-05
3399,49,C109,1.0,-1841.4719464781763,1.969199044837248e-05
3419,60,C109,1.0,-2000.2653472325708,1.9638658408298453e-05
3439,71,C109,1.0,-2052.7643671897267,2.819573162783909e-05
3457,37,C110,1.0,-625.303207690601,21.6228420773898
3458,38,C110,0.0,-625.3030079538919,21.622799959220284
3459,38,C110,1.0,-649.7547313913918,2.8786893266236077e-05
3479,49,C110,1.0,-820.8883094859881,2.0774070820066447e-05
3499,60,C110,1.0,-979.6817102403828,2.0913724914703634e-05
3519,71,C110,1.0,-1092.731131926055,2.8862577232027045e-05
3539,38,C111,1.0,-1848.5778149621015,1.6221199624229452e-05
3559,49,C111,1.0,-2110.9196421787074,1.2986131172803895e-05
3579,60,C111,1.0,-2288.693276358395,1.3236835327265056e-05
3599,71,C111,1.0,-2330.1015203893417,2.516432024701614e-05
3600,29,C112,0.0,-177.12851895929813,989.3660507885463
3601,29,C112,1.0,-189.35437932359204,1311.9800982861016
3602,30,C112,0.0,-189.3509524627874,1311.9800597813398
3619,38,C112,1.0,-409.42162666131986,1.6115429883884235e-05
3639,49,C112,1.0,-572.4039087607381,1.455326267422777e-05
3659,60,C112,1.0,-750.1775429404256,1.4927836323605015e-05
3679,71,C112,1.0,-890.945332088561,2.5739709906850578e-05
3699,38,C113,1.0,-1731.1749457847025,3.682960185229152e-05
3719,49,C113,1.0,-1899.455181610012,2.2834061467670026e-05
3739,60,C113,1.0,-1988.1014246983907,2.3302054800465416e-05
3759,71,C113,1.0,-1973.8578115659475,3.997001470945201e-05
3779,38,C114,1.0,-728.7102529526712,3.7229157699098347e-05
3799,49,C114,1.0,-833.003602410793,2.447290095977459e-05
3819,60,C114,1.0,-921.649845499172,2.496921916430859e-05
3839,71,C114,1.0,-971.3931187339164,4.0421672397498626e-05
