,element_nos,Cs,xDivL,Fx,Mres
3514,168,C57,0.0,-936.4495914160154,1.9891420837887546
3539,181,C57,1.0,-80.910448840332,1.9991920940480796
3540,182,C57,0.0,-80.90850650634755,1.9991918093762755
3565,195,C57,1.0,-668.8920222265626,2.0162978999519314
3566,196,C57,0.0,-668.8905110546873,2.0162975949000757
3607,97,C58,1.0,-1198.8541133782958,1.9625446720199857
3608,98,C58,0.0,-1198.8518664788817,1.962544750248566
3633,111,C58,1.0,-2363.8640799609375,1.992091683704098
3634,112,C58,0.0,-2363.8588835546875,1.9920916473644894
3659,125,C58,1.0,-979.4683280114748,1.9844538144825685
3660,126,C58,0.0,-979.4676256140135,1.9844539084605497
3685,139,C58,1.0,-2150.789577626954,2.011341843055375
3686,140,C58,0.0,-2150.790083466797,2.011341598686644
3711,153,C58,1.0,-759.7748529626466,2.013146392450491
3712,154,C58,0.0,-759.7750072058104,2.013146590570037
3737,167,C58,1.0,-1929.0552315234372,2.0327370459030627
3738,168,C58,0.0,-1929.0548850585938,2.032736334722031
3763,181,C58,1.0,-539.0617831048584,2.048683715060497
3764,182,C58,0.0,-539.0593580804442,2.048683489765813
3789,195,C58,1.0,-1698.622848046875,2.0665897450378217
3790,196,C58,0.0,-1698.6195643750002,2.0665894191889493
3831,97,C59,1.0,-874.3009593286131,1.8275027447414742
3832,98,C59,0.0,-874.2995142700192,1.8275027878280405
3857,111,C59,1.0,-1416.9925046875005,1.8546684892591732
3858,112,C59,0.0,-1416.9881364062499,1.8546685304670407
3883,125,C59,1.0,-654.7994620166015,1.8533353074004928
3884,126,C59,0.0,-654.798462614746,1.853335469065059
3909,139,C59,1.0,-1198.029635703125,1.879296956228332
3910,140,C59,0.0,-1198.029662832031,1.879296741256295
3935,153,C59,1.0,-435.1059869677732,1.8788164285308748
3936,154,C59,0.0,-435.10584420654277,1.8788166129481954
3961,167,C59,1.0,-976.2952895996091,1.902548184413537
3962,168,C59,0.0,-976.294464423828,1.9025474852826694
3987,181,C59,1.0,-214.50862905517573,1.903935435739211
3988,182,C59,0.0,-214.50700587158192,1.9039351722804487
4013,195,C59,1.0,-751.7512727734374,1.9273538592825874
4014,196,C59,0.0,-751.7488172265626,1.927353561956719
4412,170,C76,0.0,285.729610341797,286.21991524909225
4413,170,C76,1.0,278.97922182861333,97.9430125971176
4414,171,C76,0.0,278.9793541381837,97.94310151666237
4415,171,C76,1.0,272.22896585693366,120.12304689766412
4416,172,C76,0.0,272.22622888916027,120.12311116851518
4417,172,C76,1.0,265.47584060791024,192.32782549401776
4418,173,C76,0.0,265.4786038256836,192.32797225450298
4419,173,C76,1.0,258.72821368896484,205.38407790675024
4420,174,C76,0.0,258.7283501586915,205.38415987732517
4476,210,C76,0.0,289.1027598638311,403.45343211830505
4477,210,C76,1.0,285.72756538574225,286.2203032866146
4478,212,C76,0.0,-751.1790631561884,423.44272499336415
4525,109,C77,1.0,-2903.2114054296876,10.762499611980385
4526,110,C77,0.0,-2903.2086876171884,10.762499021762805
4527,110,C77,1.0,-2912.8013446484383,6.800108965031828
4528,111,C77,0.0,-2912.8044583203127,6.8001098750106905
4529,111,C77,1.0,-2922.397115351563,2.5327105407691044
4530,112,C77,0.0,-2922.393428867188,2.5327102306670106
