,element_nos,Cs,xDivL,Fx,Mres
2691,87,C54,1.0,-1197.193043583374,148.9241777195332
2692,88,C54,0.0,-1197.1954819622802,148.9239222553861
2693,88,C54,1.0,-1206.7881389935299,180.58179802333376
2694,89,C54,0.0,-1206.7854058880619,180.58162530661772
2695,89,C54,1.0,-1216.3780655560306,178.55476002969635
2696,90,C54,0.0,-1216.378463895874,178.55481163067557
2697,90,C54,1.0,-1225.9711209271238,146.22167491594058
2698,91,C54,0.0,-1225.9707532366942,146.2217219241693
2699,91,C54,1.0,-1235.5634102679442,100.48121529646407
2700,92,C54,0.0,-1235.5632374261472,100.48122009860207
2701,92,C54,1.0,-1245.1558944573972,54.65778242227271
2702,93,C54,0.0,-1245.1603113031006,54.657784309834014
2703,93,C54,1.0,-1254.7529683343505,21.63854508261
2704,94,C54,0.0,-1254.7479986566163,21.638543399839886
2705,94,C54,1.0,-1264.3406504144286,7.323419754278707
2706,95,C54,0.0,-1264.3412090570068,7.323424948815535
2707,95,C54,1.0,-1273.933866088257,8.147404295974905
2708,96,C54,0.0,-1273.9343432659912,8.147404338787283
2709,96,C54,1.0,-1283.5270002972409,5.651399878856024
2710,97,C54,0.0,-1283.5296095648193,5.651399810084816
2711,97,C54,1.0,-1293.122266596069,2.246277636726205
2712,98,C54,0.0,-1293.1197368841554,2.246277843433459
2713,98,C54,1.0,-1302.7123939154053,2.777433110867691e-07
2714,100,C54,0.0,-2489.897150456543,284.03520238647536
2715,100,C54,1.0,-2499.4898078173833,153.41985861491554
2716,101,C54,0.0,-2499.4947863085936,153.41987617307507
2717,101,C54,1.0,-2509.0874433398435,148.91221622941805
2718,102,C54,0.0,-2509.087146010743,148.91186170715218
2719,102,C54,1.0,-2518.6798030419927,183.81666365987587
2720,103,C54,0.0,-2518.6733966992188,183.8165812242158
2721,103,C54,1.0,-2528.2660563671875,184.17104841335262
2722,104,C54,0.0,-2528.271608413086,184.17105005510408
2723,104,C54,1.0,-2537.864265444336,152.16741174672435
2724,105,C54,0.0,-2537.8635106982415,152.16739743127604
2725,105,C54,1.0,-2547.456167729492,105.4184977354328
2726,106,C54,0.0,-2547.456004667969,105.41848792707027
2727,106,C54,1.0,-2557.048661699219,57.98038608155195
2728,107,C54,0.0,-2557.0506619287116,57.980394652956114
2729,107,C54,1.0,-2566.643318959961,23.23832078984222
2730,108,C54,0.0,-2566.6377907031256,23.238319793950627
2731,108,C54,1.0,-2576.2304424609374,7.376408378916547
2732,109,C54,0.0,-2576.23518390625,7.376409590250569
2733,109,C54,1.0,-2585.8278409375,8.292467047595892
2734,110,C54,0.0,-2585.824732304688,8.29246583097049
2735,110,C54,1.0,-2595.417389335938,5.850663750622886
2736,111,C54,0.0,-2595.421866289063,5.8506653832495115
2737,111,C54,1.0,-2605.014523320313,2.348339880557232
2738,112,C54,0.0,-2605.00969953125,2.3483397673409683
2739,112,C54,1.0,-2614.6023565625,1.216679116798274e-07
2740,114,C54,0.0,-854.4221641564942,262.2950511481112
2741,114,C54,1.0,-864.0148215173341,141.3288384702716
2742,115,C54,0.0,-864.0149619763184,141.32892235032324
