,element_nos,Cs,xDivL,Fx,Mres
1115,69,C40,1.0,-600.7868251999853,88.63524694639851
1116,70,C40,0.0,-600.7777632179449,88.63520507181534
1117,70,C40,1.0,-625.2294866554448,21.633817534791994
1118,71,C40,0.0,-625.2302397184134,21.633776247731873
1119,71,C40,1.0,-649.6819631559133,2.939004288943899e-05
1120,29,C41,0.0,-2000.776293669152,935.7155124346434
1121,29,C41,1.0,-2018.1498847131488,1413.9889087405481
1122,30,C41,0.0,-2018.1714917781258,1413.9885728674365
1123,30,C41,1.0,-2052.918675078907,2282.2627153576896
1124,31,C41,0.0,-2052.919730976658,2282.262240331372
1125,31,C41,1.0,-2087.6669116407206,2257.853494499544
1126,32,C41,0.0,-2087.657070082107,2257.853054318052
1127,32,C41,1.0,-2122.404250746169,1817.5291037893173
1128,33,C41,0.0,-2122.420562988377,1817.528981883884
1129,33,C41,1.0,-2157.1677489258764,1267.6671131604576
1130,34,C41,0.0,-2157.1517970301247,1267.6669672060211
1131,34,C41,1.0,-2191.8989829676248,773.9655437991586
1132,35,C41,0.0,-2191.901481128254,773.9655777837675
1133,35,C41,1.0,-2226.6486670657546,404.51940743595503
1134,36,C41,0.0,-2226.664748086033,404.5194479973939
1135,36,C41,1.0,-2261.4119340235325,168.4430258965379
1136,37,C41,0.0,-2261.392856270313,168.44296797184526
1137,37,C41,1.0,-2296.1400422078136,44.607398112151714
1138,38,C41,0.0,-2296.1476057032205,44.60734711692221
1139,38,C41,1.0,-2330.89479164072,2.5242657967600485e-05
1140,40,C41,0.0,-1958.907120340114,789.7929855347284
1141,40,C41,1.0,-1976.2807113841106,1272.4534991797618
1142,41,C41,0.0,-1976.309628818035,1272.4537313032574
1143,41,C41,1.0,-2011.056812118816,2123.286366977132
1144,42,C41,0.0,-2011.0436546021076,2123.286623724008
1145,42,C41,1.0,-2045.7908352661702,2117.1125002217314
1146,43,C41,0.0,-2045.8016547430227,2117.1122450348676
1147,43,C41,1.0,-2080.5488354070853,1711.4356404221198
1148,44,C41,0.0,-2080.5545421323254,1711.435425736052
1149,44,C41,1.0,-2115.301728069825,1197.4108572372506
1150,45,C41,0.0,-2115.279304198055,1197.4107739293854
1151,45,C41,1.0,-2150.0264901355554,733.0605307465623
1152,46,C41,0.0,-2150.047014799175,733.0605226771107
1153,46,C41,1.0,-2184.794200736675,384.07976970742556
